source,target,value
Finanzamt für Körperschaften II,Pflanzenschutzamt Berlin,0
Bezirksamt Mitte,Amtsgericht Lichtenberg,0
Stiftung Bröhan-Museum,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Landesfinanzservice (inkl. Landeshauptkasse),Bezirksamt Reinickendorf,0
Amtsanwaltschaft Berlin,Finanzamt für Körperschaften II,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Unfallkasse Berlin,0
Handwerksinnungen,Stiftung Stadtmuseum Berlin,180
Verfassungsgerichtshof des Landes Berlin,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Polizei Berlin,54
Pflanzenschutzamt Berlin,Landesverwaltungsamt,0
Technische Universität Berlin,Bezirksamt Spandau,0
Verkehrslenkung Berlin,Berliner Wasserbetriebe (BWB),162
Unfallkasse Berlin,Verfassungsgerichtshof des Landes Berlin,0
Finanzamt Charlottenburg,Justizvollzugsanstalt für Frauen Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesverwaltungsamt,0
Wiedergutmachungsämter von Berlin,Pestalozzi-Fröbel-Haus,126
Stiftung Stadtmuseum Berlin,Finanzamt Friedrichshain-Kreuzberg,126
Finanzamt Reinickendorf,Amtsgericht Spandau,0
Justizvollzugsanstalt für Frauen Berlin,Amtsgericht Lichtenberg,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Steuerberaterkammer Berlin,0
Steuerberaterkammer Berlin,Bezirksamt Reinickendorf,144
Finanzamt Marzahn-Hellersdorf,Senatsverwaltung für Kultur und Europa,36
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Landesfinanzservice (inkl. Landeshauptkasse),0
Senatsverwaltung für Kultur und Europa,Landesarbeitsgericht Berlin-Brandenburg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Unfallkasse Berlin,0
Pestalozzi-Fröbel-Haus,Landesarbeitsgericht Berlin-Brandenburg,0
Amtsgericht Lichtenberg,Bezirksamt Mitte,0
Deutsche Klassenlotterie Berlin,Verwaltungsgericht Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Berliner Wasserbetriebe (BWB),Amtsgericht Lichtenberg,0
Wohnraumversorgung Berlin,Verkehrslenkung Berlin,0
Polizei Berlin,Verfassungsgerichtshof des Landes Berlin,0
Bezirksamt Spandau,Landesverwaltungsamt,0
Berliner Bäderbetriebe,Justizvollzugsanstalt für Frauen Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Ärztekammer Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Amtsgericht Spandau,Justizvollzugsanstalt für Frauen Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Senatsverwaltung für Kultur und Europa,0
Bezirksamt Reinickendorf,Abgeordnetenhaus von Berlin,0
Landesverwaltungsamt,Pflanzenschutzamt Berlin,0
Investitionsbank Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Amtsgericht Lichtenberg,0
Verwaltungsgericht Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Senatsverwaltung für Finanzen,Amtsgericht Spandau,0
Maxim Gorki Theater,Bezirksamt Spandau,0
Stiftung Preußischer Kulturbesitz,Pestalozzi-Fröbel-Haus,0
Jugendstrafanstalt Berlin,Finanzamt Charlottenburg,0
Finanzamt Lichtenberg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Bezirksamt Pankow,Technische Universität Berlin,0
Abgeordnetenhaus von Berlin,Finanzamt für Körperschaften II,0
Finanzamt für Körperschaften II,Bezirksamt Reinickendorf,0
Bezirksamt Mitte,Unfallkasse Berlin,0
Stiftung Bröhan-Museum,Amtsanwaltschaft Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Bezirksamt Mitte,0
Amtsanwaltschaft Berlin,Berliner Bäderbetriebe,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Finanzamt Friedrichshain-Kreuzberg,0
Handwerksinnungen,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Verfassungsgerichtshof des Landes Berlin,Handwerksinnungen,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Polizei Berlin,0
Pflanzenschutzamt Berlin,Wohnraumversorgung Berlin,198
Technische Universität Berlin,Ärztekammer Berlin,144
Verkehrslenkung Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Unfallkasse Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Finanzamt Charlottenburg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Finanzamt Reinickendorf,0
Wiedergutmachungsämter von Berlin,Finanzamt Reinickendorf,0
Stiftung Stadtmuseum Berlin,Stiftung Stadtmuseum Berlin,0
Finanzamt Reinickendorf,Landesarbeitsgericht Berlin-Brandenburg,0
Justizvollzugsanstalt für Frauen Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
"Landesamt für Bergbau, Geologie und Rohstoffe",Stiftung Stadtmuseum Berlin,0
Steuerberaterkammer Berlin,Senatsverwaltung für Finanzen,0
Finanzamt Marzahn-Hellersdorf,Pflanzenschutzamt Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Handwerksinnungen,0
Senatsverwaltung für Kultur und Europa,Investitionsbank Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Amtsanwaltschaft Berlin,90
Pestalozzi-Fröbel-Haus,Deutsche Klassenlotterie Berlin,0
Amtsgericht Lichtenberg,Unfallkasse Berlin,0
Deutsche Klassenlotterie Berlin,Verfassungsgerichtshof des Landes Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Bezirksamt Spandau,0
Berliner Wasserbetriebe (BWB),Landesfinanzservice (inkl. Landeshauptkasse),0
Wohnraumversorgung Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Polizei Berlin,Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Spandau,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Berliner Bäderbetriebe,Bezirksamt Spandau,0
Kassenzahnärztliche Vereinigung Berlin,Stiftung Bröhan-Museum,0
Ärztekammer Berlin,Deutsche Klassenlotterie Berlin,108
Amtsgericht Spandau,Verfassungsgerichtshof des Landes Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Landesverwaltungsamt,0
Bezirksamt Reinickendorf,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Landesverwaltungsamt,Steuerberaterkammer Berlin,90
Investitionsbank Berlin,Maxim Gorki Theater,0
Finanzamt Friedrichshain-Kreuzberg,Stiftung Bröhan-Museum,0
Verwaltungsgericht Berlin,Senatsverwaltung für Kultur und Europa,0
Senatsverwaltung für Finanzen,Wiedergutmachungsämter von Berlin,0
Maxim Gorki Theater,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Stiftung Preußischer Kulturbesitz,Steuerberaterkammer Berlin,108
Jugendstrafanstalt Berlin,Senatsverwaltung für Kultur und Europa,0
Finanzamt Lichtenberg,Ärztekammer Berlin,0
Bezirksamt Pankow,Verkehrslenkung Berlin,0
Abgeordnetenhaus von Berlin,Senatsverwaltung für Kultur und Europa,0
Finanzamt für Körperschaften II,Landesarbeitsgericht Berlin-Brandenburg,0
Bezirksamt Mitte,Amtsanwaltschaft Berlin,0
Stiftung Bröhan-Museum,Finanzamt Lichtenberg,0
Landesfinanzservice (inkl. Landeshauptkasse),Verfassungsgerichtshof des Landes Berlin,0
Amtsanwaltschaft Berlin,Senatsverwaltung für Kultur und Europa,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Stiftung Preußischer Kulturbesitz,0
Handwerksinnungen,Stiftung Bröhan-Museum,0
Verfassungsgerichtshof des Landes Berlin,Senatsverwaltung für Finanzen,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Senatsverwaltung für Finanzen,0
Pflanzenschutzamt Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Technische Universität Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Verkehrslenkung Berlin,Bezirksamt Mitte,0
Unfallkasse Berlin,Deutsche Klassenlotterie Berlin,0
Finanzamt Charlottenburg,Wohnraumversorgung Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Wiedergutmachungsämter von Berlin,Bezirksamt Pankow,0
Stiftung Stadtmuseum Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Reinickendorf,Ärztekammer Berlin,162
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Lichtenberg,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Unfallkasse Berlin,0
Steuerberaterkammer Berlin,Finanzamt Lichtenberg,0
Finanzamt Marzahn-Hellersdorf,Maxim Gorki Theater,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung","Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Senatsverwaltung für Kultur und Europa,Bezirksamt Pankow,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Stiftung Bröhan-Museum,0
Pestalozzi-Fröbel-Haus,Pflanzenschutzamt Berlin,0
Amtsgericht Lichtenberg,Bezirksamt Pankow,0
Deutsche Klassenlotterie Berlin,Amtsgericht Spandau,0
Landesarbeitsgericht Berlin-Brandenburg,Steuerberaterkammer Berlin,0
Berliner Wasserbetriebe (BWB),Landesarbeitsgericht Berlin-Brandenburg,0
Wohnraumversorgung Berlin,Jugendstrafanstalt Berlin,0
Polizei Berlin,Kassenzahnärztliche Vereinigung Berlin,126
Bezirksamt Spandau,Deutsche Klassenlotterie Berlin,0
Berliner Bäderbetriebe,Landesverwaltungsamt,0
Kassenzahnärztliche Vereinigung Berlin,Stiftung Preußischer Kulturbesitz,0
Ärztekammer Berlin,Berliner Wasserbetriebe (BWB),0
Amtsgericht Spandau,Wohnraumversorgung Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Verfassungsgerichtshof des Landes Berlin,0
Bezirksamt Reinickendorf,Finanzamt für Körperschaften II,0
Landesverwaltungsamt,Justizvollzugsanstalt für Frauen Berlin,0
Investitionsbank Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Finanzamt Friedrichshain-Kreuzberg,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Verwaltungsgericht Berlin,Deutsche Klassenlotterie Berlin,0
Senatsverwaltung für Finanzen,Bezirksamt Reinickendorf,0
Maxim Gorki Theater,Stiftung Bröhan-Museum,0
Stiftung Preußischer Kulturbesitz,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Jugendstrafanstalt Berlin,Maxim Gorki Theater,0
Finanzamt Lichtenberg,Pestalozzi-Fröbel-Haus,0
Bezirksamt Pankow,Jugendstrafanstalt Berlin,0
Abgeordnetenhaus von Berlin,Stiftung Stadtmuseum Berlin,0
Finanzamt für Körperschaften II,Finanzamt Lichtenberg,36
Bezirksamt Mitte,Landesarbeitsgericht Berlin-Brandenburg,0
Stiftung Bröhan-Museum,Finanzamt Lichtenberg,0
Landesfinanzservice (inkl. Landeshauptkasse),Amtsgericht Lichtenberg,0
Amtsanwaltschaft Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),108
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Amtsanwaltschaft Berlin,0
Handwerksinnungen,Finanzamt Lichtenberg,0
Verfassungsgerichtshof des Landes Berlin,Deutsche Klassenlotterie Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Amtsanwaltschaft Berlin,0
Pflanzenschutzamt Berlin,Amtsgericht Spandau,0
Technische Universität Berlin,Amtsgericht Spandau,0
Verkehrslenkung Berlin,Verwaltungsgericht Berlin,0
Unfallkasse Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Charlottenburg,Justizvollzugsanstalt für Frauen Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Deutsche Klassenlotterie Berlin,0
Wiedergutmachungsämter von Berlin,Stiftung Bröhan-Museum,0
Stiftung Stadtmuseum Berlin,Bezirksamt Reinickendorf,0
Finanzamt Reinickendorf,Deutsche Klassenlotterie Berlin,144
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Marzahn-Hellersdorf,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Technische Universität Berlin,0
Steuerberaterkammer Berlin,Berliner Wasserbetriebe (BWB),0
Finanzamt Marzahn-Hellersdorf,Finanzamt für Körperschaften II,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Landesarbeitsgericht Berlin-Brandenburg,0
Senatsverwaltung für Kultur und Europa,Justizvollzugsanstalt für Frauen Berlin,108
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Justizvollzugsanstalt für Frauen Berlin,198
Pestalozzi-Fröbel-Haus,Senatsverwaltung für Finanzen,0
Amtsgericht Lichtenberg,Stiftung Stadtmuseum Berlin,72
Deutsche Klassenlotterie Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Landesarbeitsgericht Berlin-Brandenburg,Steuerberaterkammer Berlin,198
Berliner Wasserbetriebe (BWB),Finanzamt Lichtenberg,0
Wohnraumversorgung Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Polizei Berlin,Verkehrslenkung Berlin,0
Bezirksamt Spandau,Amtsgericht Lichtenberg,0
Berliner Bäderbetriebe,Justizvollzugsanstalt für Frauen Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Verfassungsgerichtshof des Landes Berlin,0
Ärztekammer Berlin,Investitionsbank Berlin,0
Amtsgericht Spandau,Verwaltungsgericht Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Bezirksamt Reinickendorf,0
Bezirksamt Reinickendorf,Finanzamt für Körperschaften II,0
Landesverwaltungsamt,Unfallkasse Berlin,0
Investitionsbank Berlin,Steuerberaterkammer Berlin,54
Finanzamt Friedrichshain-Kreuzberg,Stiftung Stadtmuseum Berlin,0
Verwaltungsgericht Berlin,Stiftung Preußischer Kulturbesitz,0
Senatsverwaltung für Finanzen,Amtsanwaltschaft Berlin,0
Maxim Gorki Theater,Jugendstrafanstalt Berlin,0
Stiftung Preußischer Kulturbesitz,Finanzamt Reinickendorf,0
Jugendstrafanstalt Berlin,Bezirksamt Pankow,0
Finanzamt Lichtenberg,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Bezirksamt Pankow,Bezirksamt Mitte,0
Abgeordnetenhaus von Berlin,Berliner Bäderbetriebe,0
Finanzamt für Körperschaften II,Deutsche Klassenlotterie Berlin,0
Bezirksamt Mitte,Landesarbeitsgericht Berlin-Brandenburg,0
Stiftung Bröhan-Museum,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Landesfinanzservice (inkl. Landeshauptkasse),Amtsgericht Spandau,0
Amtsanwaltschaft Berlin,Verfassungsgerichtshof des Landes Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Kassenzahnärztliche Vereinigung Berlin,0
Handwerksinnungen,Verwaltungsgericht Berlin,108
Verfassungsgerichtshof des Landes Berlin,Finanzamt für Körperschaften II,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Maxim Gorki Theater,0
Pflanzenschutzamt Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Technische Universität Berlin,Finanzamt Reinickendorf,0
Verkehrslenkung Berlin,Bezirksamt Pankow,0
Unfallkasse Berlin,Pestalozzi-Fröbel-Haus,0
Finanzamt Charlottenburg,Finanzamt Lichtenberg,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Senatsverwaltung für Finanzen,0
Wiedergutmachungsämter von Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Stiftung Stadtmuseum Berlin,Senatsverwaltung für Finanzen,0
Finanzamt Reinickendorf,Pestalozzi-Fröbel-Haus,0
Justizvollzugsanstalt für Frauen Berlin,Justizvollzugsanstalt für Frauen Berlin,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Unfallkasse Berlin,0
Steuerberaterkammer Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Finanzamt Marzahn-Hellersdorf,Unfallkasse Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Unfallkasse Berlin,0
Senatsverwaltung für Kultur und Europa,Justizvollzugsanstalt für Frauen Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Justizvollzugsanstalt für Frauen Berlin,0
Pestalozzi-Fröbel-Haus,Finanzamt Reinickendorf,0
Amtsgericht Lichtenberg,Abgeordnetenhaus von Berlin,0
Deutsche Klassenlotterie Berlin,Verkehrslenkung Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Polizei Berlin,0
Berliner Wasserbetriebe (BWB),Bezirksamt Pankow,0
Wohnraumversorgung Berlin,Bezirksamt Pankow,0
Polizei Berlin,Senatsverwaltung für Finanzen,0
Bezirksamt Spandau,Kassenzahnärztliche Vereinigung Berlin,0
Berliner Bäderbetriebe,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Kassenzahnärztliche Vereinigung Berlin,Polizei Berlin,0
Ärztekammer Berlin,Verwaltungsgericht Berlin,0
Amtsgericht Spandau,Bezirksamt Mitte,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Kassenzahnärztliche Vereinigung Berlin,0
Bezirksamt Reinickendorf,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Landesverwaltungsamt,Stiftung Preußischer Kulturbesitz,0
Investitionsbank Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Finanzamt Friedrichshain-Kreuzberg,Verwaltungsgericht Berlin,0
Verwaltungsgericht Berlin,Handwerksinnungen,0
Senatsverwaltung für Finanzen,Polizei Berlin,0
Maxim Gorki Theater,Wohnraumversorgung Berlin,0
Stiftung Preußischer Kulturbesitz,Stiftung Stadtmuseum Berlin,0
Jugendstrafanstalt Berlin,Senatsverwaltung für Kultur und Europa,0
Finanzamt Lichtenberg,Landesverwaltungsamt,0
Bezirksamt Pankow,Kassenzahnärztliche Vereinigung Berlin,18
Abgeordnetenhaus von Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Finanzamt für Körperschaften II,Pestalozzi-Fröbel-Haus,0
Bezirksamt Mitte,Pestalozzi-Fröbel-Haus,0
Stiftung Bröhan-Museum,Senatsverwaltung für Finanzen,0
Landesfinanzservice (inkl. Landeshauptkasse),Kassenzahnärztliche Vereinigung Berlin,0
Amtsanwaltschaft Berlin,Amtsgericht Spandau,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Kassenzahnärztliche Vereinigung Berlin,0
Handwerksinnungen,Investitionsbank Berlin,0
Verfassungsgerichtshof des Landes Berlin,Bezirksamt Spandau,36
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Pflanzenschutzamt Berlin,Pflanzenschutzamt Berlin,0
Technische Universität Berlin,Jugendstrafanstalt Berlin,0
Verkehrslenkung Berlin,Handwerksinnungen,0
Unfallkasse Berlin,Maxim Gorki Theater,0
Finanzamt Charlottenburg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesverwaltungsamt,0
Wiedergutmachungsämter von Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Stiftung Stadtmuseum Berlin,Pestalozzi-Fröbel-Haus,0
Finanzamt Reinickendorf,Technische Universität Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Maxim Gorki Theater,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Verkehrslenkung Berlin,0
Steuerberaterkammer Berlin,Verfassungsgerichtshof des Landes Berlin,0
Finanzamt Marzahn-Hellersdorf,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Steuerberaterkammer Berlin,0
Senatsverwaltung für Kultur und Europa,Verkehrslenkung Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Pestalozzi-Fröbel-Haus,Handwerksinnungen,0
Amtsgericht Lichtenberg,Justizvollzugsanstalt für Frauen Berlin,0
Deutsche Klassenlotterie Berlin,Senatsverwaltung für Kultur und Europa,198
Landesarbeitsgericht Berlin-Brandenburg,Wiedergutmachungsämter von Berlin,0
Berliner Wasserbetriebe (BWB),Wohnraumversorgung Berlin,0
Wohnraumversorgung Berlin,Senatsverwaltung für Kultur und Europa,0
Polizei Berlin,Senatsverwaltung für Finanzen,0
Bezirksamt Spandau,Technische Universität Berlin,0
Berliner Bäderbetriebe,Finanzamt Reinickendorf,0
Kassenzahnärztliche Vereinigung Berlin,Landesarbeitsgericht Berlin-Brandenburg,0
Ärztekammer Berlin,Wohnraumversorgung Berlin,0
Amtsgericht Spandau,Stiftung Stadtmuseum Berlin,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Bezirksamt Reinickendorf,Unfallkasse Berlin,0
Landesverwaltungsamt,Finanzamt Charlottenburg,0
Investitionsbank Berlin,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Finanzamt Friedrichshain-Kreuzberg,Senatsverwaltung für Finanzen,0
Verwaltungsgericht Berlin,Investitionsbank Berlin,0
Senatsverwaltung für Finanzen,Deutsche Klassenlotterie Berlin,0
Maxim Gorki Theater,Ärztekammer Berlin,0
Stiftung Preußischer Kulturbesitz,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Jugendstrafanstalt Berlin,Wiedergutmachungsämter von Berlin,0
Finanzamt Lichtenberg,Stiftung Bröhan-Museum,0
Bezirksamt Pankow,Steuerberaterkammer Berlin,0
Abgeordnetenhaus von Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Finanzamt für Körperschaften II,Bezirksamt Reinickendorf,0
Bezirksamt Mitte,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Stiftung Bröhan-Museum,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Landesfinanzservice (inkl. Landeshauptkasse),Senatsverwaltung für Kultur und Europa,0
Amtsanwaltschaft Berlin,Bezirksamt Pankow,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Berliner Bäderbetriebe,0
Handwerksinnungen,Berliner Wasserbetriebe (BWB),0
Verfassungsgerichtshof des Landes Berlin,Technische Universität Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Stiftung Preußischer Kulturbesitz,0
Pflanzenschutzamt Berlin,Pflanzenschutzamt Berlin,0
Technische Universität Berlin,Bezirksamt Reinickendorf,0
Verkehrslenkung Berlin,Jugendstrafanstalt Berlin,0
Unfallkasse Berlin,Bezirksamt Pankow,0
Finanzamt Charlottenburg,Ärztekammer Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Landesfinanzservice (inkl. Landeshauptkasse),0
Wiedergutmachungsämter von Berlin,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Stiftung Stadtmuseum Berlin,Handwerksinnungen,0
Finanzamt Reinickendorf,Bezirksamt Spandau,0
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Charlottenburg,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Finanzamt Friedrichshain-Kreuzberg,0
Steuerberaterkammer Berlin,Berliner Wasserbetriebe (BWB),0
Finanzamt Marzahn-Hellersdorf,Landesfinanzservice (inkl. Landeshauptkasse),0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Amtsgericht Spandau,0
Senatsverwaltung für Kultur und Europa,Amtsgericht Lichtenberg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Maxim Gorki Theater,0
Pestalozzi-Fröbel-Haus,Investitionsbank Berlin,0
Amtsgericht Lichtenberg,Pestalozzi-Fröbel-Haus,0
Deutsche Klassenlotterie Berlin,Pflanzenschutzamt Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Unfallkasse Berlin,0
Berliner Wasserbetriebe (BWB),Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,90
Wohnraumversorgung Berlin,Stiftung Stadtmuseum Berlin,0
Polizei Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Bezirksamt Spandau,Pestalozzi-Fröbel-Haus,0
Berliner Bäderbetriebe,Verwaltungsgericht Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Verfassungsgerichtshof des Landes Berlin,0
Ärztekammer Berlin,Finanzamt für Körperschaften II,0
Amtsgericht Spandau,Deutsche Klassenlotterie Berlin,180
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Berliner Bäderbetriebe,0
Bezirksamt Reinickendorf,Finanzamt Marzahn-Hellersdorf,144
Landesverwaltungsamt,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Investitionsbank Berlin,Landesverwaltungsamt,0
Finanzamt Friedrichshain-Kreuzberg,Polizei Berlin,0
Verwaltungsgericht Berlin,Finanzamt Friedrichshain-Kreuzberg,0
Senatsverwaltung für Finanzen,Ärztekammer Berlin,0
Maxim Gorki Theater,Steuerberaterkammer Berlin,0
Stiftung Preußischer Kulturbesitz,Finanzamt Friedrichshain-Kreuzberg,0
Jugendstrafanstalt Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Lichtenberg,Pflanzenschutzamt Berlin,0
Bezirksamt Pankow,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Abgeordnetenhaus von Berlin,Finanzamt Reinickendorf,0
Finanzamt für Körperschaften II,Ärztekammer Berlin,0
Bezirksamt Mitte,Amtsgericht Lichtenberg,0
Stiftung Bröhan-Museum,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Landesfinanzservice (inkl. Landeshauptkasse),Bezirksamt Mitte,0
Amtsanwaltschaft Berlin,Handwerksinnungen,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Landesfinanzservice (inkl. Landeshauptkasse),0
Handwerksinnungen,Verwaltungsgericht Berlin,0
Verfassungsgerichtshof des Landes Berlin,Unfallkasse Berlin,54
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Wohnraumversorgung Berlin,0
Pflanzenschutzamt Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Technische Universität Berlin,Finanzamt Friedrichshain-Kreuzberg,0
Verkehrslenkung Berlin,Stiftung Stadtmuseum Berlin,198
Unfallkasse Berlin,Polizei Berlin,108
Finanzamt Charlottenburg,Investitionsbank Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Abgeordnetenhaus von Berlin,0
Wiedergutmachungsämter von Berlin,Berliner Bäderbetriebe,0
Stiftung Stadtmuseum Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
